"date_report","c_daily","d_daily","r_cum","t_cum","c_cum","d_cum","a_cum","r_lag","r_daily"
2020-05-06,1487,180,28184,1011823,64546,4347,32015,27006,1178
2020-05-07,1510,175,29260,1045104,66056,4522,32274,28184,1076
2020-05-08,1468,155,30239,1076113,67524,4677,32608,29260,979
2020-05-09,1242,125,31262,1111638,68766,4802,32702,30239,1023
2020-05-10,1167,161,32109,1137205,69933,4963,32861,31262,847
2020-05-11,1187,136,33007,1168235,71120,5099,33014,32109,898
2020-05-12,1158,183,34055,1192955,72278,5282,32941,33007,1048
2020-05-13,1149,127,35177,1221776,73427,5409,32841,34055,1122
2020-05-14,1224,166,36104,1254196,74651,5575,32972,35177,927
2020-05-15,1178,87,36908,1288942,75829,5662,33259,36104,804
2020-05-16,1233,118,37832,1322393,77062,5780,33450,36908,924
2020-05-17,1126,103,38563,1352698,78188,5883,33742,37832,731
2020-05-18,1076,57,39251,1374188,79264,5940,34073,38563,688
2020-05-19,1115,70,40063,1396238,80379,6010,34306,39251,812
2020-05-20,1079,125,40789,1414184,81458,6135,34534,40063,726
2020-05-21,1173,114,41728,1439661,82631,6249,34654,40789,939
2020-05-22,1210,92,42607,1466514,83841,6341,34893,41728,879
2020-05-23,1200,105,43318,1492407,85041,6446,35277,42607,711
2020-05-24,956,68,43998,1518917,85997,6514,35485,43318,680
2020-05-25,1027,121,44651,1546474,87024,6635,35738,43998,653
2020-05-26,976,96,45352,1568604,88000,6731,35917,44651,701
2020-05-27,894,125,46177,1597514,88894,6856,35861,45352,825
2020-05-28,994,106,46853,1631224,89888,6962,36073,46177,676
2020-05-29,932,83,47533,1666480,90820,7045,36242,46853,680
2020-05-30,777,96,48116,1703613,91597,7141,36340,47533,583
2020-05-31,805,215,48892,1739990,92402,7356,36154,48116,776
2020-06-01,818,29,49739,1770701,93220,7385,36096,48892,847
2020-06-02,670,71,50357,1799655,93890,7456,36077,49739,618
2020-06-03,689,102,51048,1833253,94579,7558,35973,50357,691
2020-06-04,625,139,51738,1869996,95204,7697,35769,51048,690
2020-06-05,682,61,52565,1911552,95886,7758,35563,51738,827
2020-06-06,519,72,53609,1948990,96405,7830,34966,52565,1044
2020-06-07,700,27,54228,1976904,97105,7857,35020,53609,619
2020-06-08,615,33,54828,2016761,97720,7890,35002,54228,600
2020-06-09,459,59,55567,2042852,98179,7949,34663,54828,739
2020-06-10,481,59,56639,2078570,98660,8008,34013,55567,1072
2020-06-11,439,41,57658,2120407,99099,8049,33392,56639,1019
2020-06-12,444,54,58523,2166358,99543,8103,32917,57658,865
2020-06-13,447,59,59353,2207909,99990,8162,32475,58523,830
2020-06-14,355,35,60272,2248173,100345,8197,31876,59353,919
2020-06-15,377,30,61042,2282988,100722,8227,31453,60272,770
2020-06-16,332,41,61443,2317504,101054,8268,31343,61042,401
2020-06-17,391,35,62017,2358037,101445,8303,31125,61443,574
2020-06-18,380,47,62496,2401511,101825,8350,30979,62017,479
2020-06-19,440,45,63003,2448404,102265,8395,30867,62496,507
2020-06-20,366,60,63488,2490810,102631,8455,30688,63003,485
2020-06-21,298,14,63886,2524018,102929,8469,30574,63488,398
2020-06-22,358,12,64334,2561299,103287,8481,30472,63886,448
2020-06-23,357,18,64704,2600216,103644,8499,30441,64334,370
2020-06-24,318,31,65091,2638368,103962,8530,30341,64704,387
2020-06-25,369,22,65425,2680836,104331,8552,30354,65091,334
2020-06-26,176,4,65726,2729313,104507,8556,30225,65425,301
2020-06-27,243,9,65973,2775953,104750,8565,30212,65726,247
2020-06-28,292,5,66191,2812368,105042,8570,30281,65973,218
2020-06-29,647,47,67178,2855334,105689,8617,29894,66191,987
2020-06-30,279,22,67592,2904747,105968,8639,29737,67178,414
2020-07-01,191,28,67744,2910354,106159,8667,29748,67592,152
2020-07-02,357,23,68347,2987874,106516,8690,29479,67744,603
2020-07-03,325,22,68693,3027911,106841,8712,29436,68347,346
